source_id	source_qualified_name	edge_type	target_id	target_qualified_name	properties
2527	D-twse._api_test	CALLS	2529	D-twse._api_test.test_finmind	{"callee":"test_finmind","confidence":0.90,"strategy":"same_module","candidates":1}
2527	D-twse._api_test	CALLS	2534	D-twse._api_test.test_kronos	{"callee":"test_kronos","confidence":0.90,"strategy":"same_module","candidates":1}
2527	D-twse._api_test	CALLS	2533	D-twse._api_test.test_longcat	{"callee":"test_longcat","confidence":0.90,"strategy":"same_module","candidates":1}
2527	D-twse._api_test	CALLS	2532	D-twse._api_test.test_tdcc	{"callee":"test_tdcc","confidence":0.90,"strategy":"same_module","candidates":1}
2527	D-twse._api_test	CALLS	2531	D-twse._api_test.test_tpex	{"callee":"test_tpex","confidence":0.90,"strategy":"same_module","candidates":1}
2527	D-twse._api_test	CALLS	2530	D-twse._api_test.test_twse	{"callee":"test_twse","confidence":0.90,"strategy":"same_module","candidates":1}
2527	D-twse._api_test	CALLS	323	D-twse.api-response-example.open	{"callee":"open","confidence":0.75,"strategy":"unique_name","candidates":1,"args":[{"i":0,"e":"'d:/twse/API_TEST_RESULTS.json'","v":"d:/twse/API_TEST_RESULTS.json"},{"i":1,"e":"'w'","v":"w"},{"i":2,"k":"encoding","e":"'utf-8'","v":"utf-8"}]}
2528	D-twse._api_test.record	CALLS	1223	D-twse.verify_fixes.info	{"callee":"log.info","confidence":0.75,"strategy":"unique_name","candidates":1,"args":[{"i":0,"e":"f'   {k}: {v}'","v":"f\"   {k}: {v}\""}]}
2529	D-twse._api_test.test_finmind	CALLS	2528	D-twse._api_test.record	{"callee":"record","confidence":0.95,"strategy":"lsp_direct","candidates":1,"args":[{"i":0,"e":"'FinMind: Rate limit'","v":"FinMind: Rate limit"},{"i":1,"e":"f'ERROR: {e}'","v":"f\"ERROR: {e}\""},{"i":2,"e":"{}"},{"i":3,"k":"ok","e":"False"}]}
2529	D-twse._api_test.test_finmind	CALLS	336	D-twse.api-response-example.time	{"callee":"time.time","confidence":0.75,"strategy":"unique_name","candidates":1}
2529	D-twse._api_test.test_finmind	CALLS	1552	D-twse.twstock.fetcher.FinMindClient.get	{"callee":"requests.get","confidence":0.55,"strategy":"suffix_match","candidates":2,"args":[{"i":0,"e":"url.replace('invalid_token', token)"},{"i":1,"k":"headers","e":"headers"},{"i":2,"k":"timeout","e":"10"}]}
2529	D-twse._api_test.test_finmind	CALLS	1223	D-twse.verify_fixes.info	{"callee":"log.info","confidence":0.75,"strategy":"unique_name","candidates":1,"args":[{"i":0,"e":"'=' * 60"}]}
2534	D-twse._api_test.test_kronos	CALLS	2528	D-twse._api_test.record	{"callee":"record","confidence":0.95,"strategy":"lsp_direct","candidates":1,"args":[{"i":0,"e":"'Kronos: Inference test'","v":"Kronos: Inference test"},{"i":1,"e":"f'ERROR: {e}'","v":"f\"ERROR: {e}\""},{"i":2,"e":"{}"},{"i":3,"k":"ok","e":"False"}]}
2534	D-twse._api_test.test_kronos	CALLS	336	D-twse.api-response-example.time	{"callee":"time.time","confidence":0.75,"strategy":"unique_name","candidates":1}
2534	D-twse._api_test.test_kronos	CALLS	1708	D-twse.model.kronos.KronosPredictor.generate	{"callee":"model.generate","confidence":0.75,"strategy":"unique_name","candidates":1,"args":[{"i":0,"e":"inputs['input_ids']"},{"i":1,"k":"attention_mask","e":"inputs['attention_mask']"},{"i":2,"k":"max_length","e":"105"},{"i":3,"k":"num_return_sequences","e":"1"}]}
2534	D-twse._api_test.test_kronos	CALLS	1552	D-twse.twstock.fetcher.FinMindClient.get	{"callee":"os.environ.get","confidence":0.55,"strategy":"suffix_match","candidates":2,"args":[{"i":0,"e":"'KRONOS_TOKENIZER_ID'","v":"KRONOS_TOKENIZER_ID"},{"i":1,"e":"'NeoQuasar/Kronos-Tokenizer-base'","v":"NeoQuasar/Kronos-Tokenizer-base"}]}
2534	D-twse._api_test.test_kronos	CALLS	1223	D-twse.verify_fixes.info	{"callee":"log.info","confidence":0.75,"strategy":"unique_name","candidates":1,"args":[{"i":0,"e":"'=' * 60"}]}
2533	D-twse._api_test.test_longcat	CALLS	2528	D-twse._api_test.record	{"callee":"record","confidence":0.95,"strategy":"lsp_direct","candidates":1,"args":[{"i":0,"e":"'LongCat: Bad model error'","v":"LongCat: Bad model error"},{"i":1,"e":"f'ERROR: {e}'","v":"f\"ERROR: {e}\""},{"i":2,"e":"{}"},{"i":3,"k":"ok","e":"False"}]}
2533	D-twse._api_test.test_longcat	CALLS	2533	D-twse._api_test.test_longcat	{"callee":"requests.post","confidence":0.50,"strategy":"callee_suffix","candidates":0,"args":[{"i":0,"e":"f'{api_url}/chat/completions'","v":"f\"{api_url}/chat/completions\""},{"i":1,"k":"json","e":"payload_bad"},{"i":2,"k":"headers","e":"{'Authorization': f'Bearer {api_key}', 'Content-Type': 'application/json'}"},{"i":3,"k":"timeout","e":"10"}]}
2533	D-twse._api_test.test_longcat	CALLS	336	D-twse.api-response-example.time	{"callee":"time.time","confidence":0.75,"strategy":"unique_name","candidates":1}
2533	D-twse._api_test.test_longcat	CALLS	1552	D-twse.twstock.fetcher.FinMindClient.get	{"callee":"data.get","confidence":0.55,"strategy":"suffix_match","candidates":2,"args":[{"i":0,"e":"'usage'","v":"usage"},{"i":1,"e":"{}"}]}
2533	D-twse._api_test.test_longcat	CALLS	1223	D-twse.verify_fixes.info	{"callee":"log.info","confidence":0.75,"strategy":"unique_name","candidates":1,"args":[{"i":0,"e":"'=' * 60"}]}
2532	D-twse._api_test.test_tdcc	CALLS	2528	D-twse._api_test.record	{"callee":"record","confidence":0.95,"strategy":"lsp_direct","candidates":1,"args":[{"i":0,"e":"'TDCC: Invalid date'","v":"TDCC: Invalid date"},{"i":1,"e":"f'ERROR: {e}'","v":"f\"ERROR: {e}\""},{"i":2,"e":"{}"},{"i":3,"k":"ok","e":"False"}]}
2532	D-twse._api_test.test_tdcc	CALLS	336	D-twse.api-response-example.time	{"callee":"time.time","confidence":0.75,"strategy":"unique_name","candidates":1}
2532	D-twse._api_test.test_tdcc	CALLS	1552	D-twse.twstock.fetcher.FinMindClient.get	{"callee":"requests.get","confidence":0.55,"strategy":"suffix_match","candidates":2,"args":[{"i":0,"e":"url"},{"i":1,"k":"timeout","e":"10"}]}
2532	D-twse._api_test.test_tdcc	CALLS	1223	D-twse.verify_fixes.info	{"callee":"log.info","confidence":0.75,"strategy":"unique_name","candidates":1,"args":[{"i":0,"e":"'=' * 60"}]}
2531	D-twse._api_test.test_tpex	CALLS	2528	D-twse._api_test.record	{"callee":"record","confidence":0.95,"strategy":"lsp_direct","candidates":1,"args":[{"i":0,"e":"'TPEx: exDailyQ'","v":"TPEx: exDailyQ"},{"i":1,"e":"f'ERROR: {e}'","v":"f\"ERROR: {e}\""},{"i":2,"e":"{}"},{"i":3,"k":"ok","e":"False"}]}
2531	D-twse._api_test.test_tpex	CALLS	336	D-twse.api-response-example.time	{"callee":"time.time","confidence":0.75,"strategy":"unique_name","candidates":1}
2531	D-twse._api_test.test_tpex	CALLS	1552	D-twse.twstock.fetcher.FinMindClient.get	{"callee":"tables[0].get","confidence":0.55,"strategy":"suffix_match","candidates":2,"args":[{"i":0,"e":"'fields'","v":"fields"},{"i":1,"e":"[]"}]}
2531	D-twse._api_test.test_tpex	CALLS	1223	D-twse.verify_fixes.info	{"callee":"log.info","confidence":0.75,"strategy":"unique_name","candidates":1,"args":[{"i":0,"e":"'=' * 60"}]}
